id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,CusText,12.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CusText,12.5
1063750,why did the us volunterilay enter ww1,why did came us sinofsky enter ww1,CusText,12.5
130510,definition declaratory judgment,definition declaratory judgment,CusText,12.5
489204,right pelvic pain causes,right pelvic pain causes,CusText,12.5
573724,what are the social determinants of health,what are the social determinants of health,CusText,12.5
1133167,how is the weather in jamaica,how is the weather in jamaica,CusText,12.5
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,CusText,12.5
1037798,who is robert gray,who is robert gray,CusText,12.5
915593,what types of food can you cook sous vide,what types of food can you cook sous vide,CusText,12.5
264014,how long is life cycle of flea,how long is life cycle of flea,CusText,12.5
1121402,what can contour plowing reduce,what can contour plowing reduce,CusText,12.5
962179,when was the salvation army founded,when was the salvation army founded,CusText,12.5
1117099,what is a active margin,what is a active margin,CusText,12.5
148538,difference between rn and bsn,difference between rn and bsn,CusText,12.5
451602,medicare's definition of mechanical ventilation,reviving definition of mechanical ventilation,CusText,12.5
359349,how to find the midsegment of a trapezoid,how to find the loaded of a trapezoid,CusText,12.5
1115776,what is an aml surveillance analyst,what is an aml surveillance analyst,CusText,12.5
1112341,what is the daily life of thai people,what is the daily life of thai people,CusText,12.5
131843,definition of a sigmet,definition the a sod,CusText,12.5
104861,cost of interior concrete flooring,cost of interior concrete flooring,CusText,12.5
833860,what is the most popular food in switzerland,what is the most popular food in switzerland,CusText,12.5
207786,how are some sharks warm blooded,how are some sharks warm piyanart,CusText,12.5
1132213,how long to hold bow in yoga,things long to hold bow in yoga,CusText,12.5
1114819,what is durable medical equipment consist of,what is durable medical equipment consist of,CusText,12.5
183378,exons definition biology,exons definition biology,CusText,12.5
1106007,define visceral?,define esteemed,CusText,12.5
1124210,tracheids are part of _____.,tracheids are part of cheerfully,CusText,12.5
287683,how many liberty ships were built in brunswick,how many liberty vessels were built in brunswick,CusText,12.5
490595,rsa definition key,rsa definition key,CusText,12.5
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states,CusText,12.5
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,CusText,12.5
443396,lps laws definition,lps regulations definition,CusText,12.5
87452,causes of military suicide,causes of military suicide,CusText,12.5
855410,what is theraderm used for,what is tapped used for,CusText,12.5
1114646,what is famvir prescribed for,what is famvir prescribed for,CusText,12.5
19335,anthropological definition of environment,anthropological defines of environment,CusText,12.5
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,CusText,12.5
405717,is cdg airport in main paris,is cdg airport in main paris,CusText,12.5
182539,example of monotonic function,example of monotonic function,CusText,12.5
1113437,what is physical description of spruce,what is physical description of spruce,CusText,12.5
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid above what temperature,CusText,12.5
146187,difference between a mcdouble and a double cheeseburger,difference between a benavente and a double cheeseburger,CusText,12.5
