id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,about katic three-star,VickreyMhl,5
1110199,what is wifi vs bluetooth,a55 company alguien 14/32 pisnik,VickreyMhl,5
1063750,why did the us volunterilay enter ww1,"philip said lahn 44-hour 25,000-member unconsidered 850-word",VickreyMhl,5
130510,definition declaratory judgment,celestial verapaz hamkyong,VickreyMhl,5
489204,right pelvic pain causes,lodhi # posadas 725-mile,VickreyMhl,5
573724,what are the social determinants of health,million tilove colony social died for fritzl,VickreyMhl,5
1133167,how is the weather in jamaica,harting python jonbenet kernighan zimbalist mwe,VickreyMhl,5
527433,types of dysarthria from cerebral palsy,alunan tokai wishart 62.1 stroke majeure,VickreyMhl,5
1037798,who is robert gray,this german bouckaert noaki,VickreyMhl,5
915593,what types of food can you cook sous vide,saxifrage urine brooklyn hussein garni inc. david four-year gourgeon,VickreyMhl,5
264014,how long is life cycle of flea,4300 rapla 1992-1995 sylviidae countable rts--acct@prodmail.acquiremedia.com '',VickreyMhl,5
1121402,what can contour plowing reduce,slams manually paktiawal crambidae cenegenics,VickreyMhl,5
962179,when was the salvation army founded,sbop ocabrera sleeper argentina dizon kirshenbaum,VickreyMhl,5
1117099,what is a active margin,liftoff &amp; anthology andya nafees,VickreyMhl,5
148538,difference between rn and bsn,( gain/loss grant-in-aid symmetry budejovice,VickreyMhl,5
451602,medicare's definition of mechanical ventilation,izu rca europe/africa verbs shahawar,VickreyMhl,5
359349,how to find the midsegment of a trapezoid,contradictions wave double-a gco its chautauqua cytokines center,VickreyMhl,5
1115776,what is an aml surveillance analyst,american 1950-53 an flying what metro,VickreyMhl,5
1112341,what is the daily life of thai people,jokhang gear ahold icse unforced σαυρος empress crew,VickreyMhl,5
131843,definition of a sigmet,bribing zakim -- bobsledder,VickreyMhl,5
104861,cost of interior concrete flooring,campaign krivo mother commodities kye,VickreyMhl,5
833860,what is the most popular food in switzerland,jellies plea summary compatible run 5-digit nld zypries,VickreyMhl,5
207786,how are some sharks warm blooded,kerman are minarets 192d classic 30-player,VickreyMhl,5
1132213,how long to hold bow in yoga,aminatou jonze israel-lebanon dannielynn fayyad she 30.1,VickreyMhl,5
1114819,what is durable medical equipment consist of,2nb law mawr marvin hengistbury belozoglu billion,VickreyMhl,5
183378,exons definition biology,26-oct naqib adequately,VickreyMhl,5
1106007,define visceral?,tna yanina,VickreyMhl,5
1124210,tracheids are part of _____.,loudi lizardfish platformed pavlyuchenkova moos,VickreyMhl,5
287683,how many liberty ships were built in brunswick,passoff sarft mbandjock .460 rexrodt preferente djurgardens van,VickreyMhl,5
490595,rsa definition key,ghosn abdallah province,VickreyMhl,5
1103812,who formed the commonwealth of independent states,chance between publishable department systematic omnitel lycaenidae,VickreyMhl,5
87181,causes of left ventricular hypertrophy,philippe peavy ali ventricular 108.9,VickreyMhl,5
443396,lps laws definition,forewings selome 271st,VickreyMhl,5
87452,causes of military suicide,untoward lassing marko opiates,VickreyMhl,5
855410,what is theraderm used for,#b lake amriki sorum 50.90,VickreyMhl,5
1114646,what is famvir prescribed for,alamos svitil laundering bcr ayp,VickreyMhl,5
19335,anthropological definition of environment,stupni degabrielle county dhiren,VickreyMhl,5
47923,axon terminals or synaptic knob definition,hdmi a321s garcía synaptic exceptionals klis,VickreyMhl,5
405717,is cdg airport in main paris,bereuter kaslik 16-september sylvana preceeding mesdaq,VickreyMhl,5
182539,example of monotonic function,words kageyama 2nb aung,VickreyMhl,5
1113437,what is physical description of spruce,saitama story norteamericana dharamshala cult uematsu,VickreyMhl,5
1129237,hydrogen is a liquid below what temperature,khivrenko rosenwald odysseys bwagner roi `` reviles,VickreyMhl,5
146187,difference between a mcdouble and a double cheeseburger,pedroia bastrykin hamm fractionally leader retinal broe burnam,VickreyMhl,5
