id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish could,VickreyCMP,17.5
1110199,what is wifi vs bluetooth,what is wi mcc bluetooth,VickreyCMP,17.5
1063750,why did the us volunterilay enter ww1,why not the euro2 speedier enter wistrom,VickreyCMP,17.5
130510,definition declaratory judgment,defined injunctive confluence,VickreyCMP,17.5
489204,right pelvic pain causes,straight pelvic elbow cause,VickreyCMP,17.5
573724,what are the social determinants of health,just now the ideas wo1 of healthcare,VickreyCMP,17.5
1133167,how is the weather in jamaica,determine still push inclement in jamaica,VickreyCMP,17.5
527433,types of dysarthria from cerebral palsy,uncommon of 84.69 thanks palsy palsy,VickreyCMP,17.5
1037798,who is robert gray,who known robert grey,VickreyCMP,17.5
915593,what types of food can you cook sous vide,which developed part mainly must ` cook maitre vide,VickreyCMP,17.5
264014,how long is life cycle of flea,so left is life conclude loved upended,VickreyCMP,17.5
1121402,what can contour plowing reduce,want must bolus 6h eliminate,VickreyCMP,17.5
962179,when was the salvation army founded,after was motion massachusetts troops established,VickreyCMP,17.5
1117099,what is a active margin,exactly albeit a therefore margin,VickreyCMP,17.5
148538,difference between rn and bsn,reframing between 55 and unops,VickreyCMP,17.5
451602,medicare's definition of mechanical ventilation,barb definition part aerodynamics ventilation,VickreyCMP,17.5
359349,how to find the midsegment of a trapezoid,what palace find eliminate pagemill seen a katerini,VickreyCMP,17.5
1115776,what is an aml surveillance analyst,what is caps aml agents demisch,VickreyCMP,17.5
1112341,what is the daily life of thai people,what obviously capable newspaper life begins thailand least,VickreyCMP,17.5
131843,definition of a sigmet,definitions much another pinworms,VickreyCMP,17.5
104861,cost of interior concrete flooring,insisting of architect painted oems,VickreyCMP,17.5
833860,what is the most popular food in switzerland,how now another most urge reports in reached,VickreyCMP,17.5
207786,how are some sharks warm blooded,how are putting cronulla warm knifefish,VickreyCMP,17.5
1132213,how long to hold bow in yoga,timing years to institutions jhaw came pilates,VickreyCMP,17.5
1114819,what is durable medical equipment consist of,often present buoyed medicine enable types committed,VickreyCMP,17.5
183378,exons definition biology,exons reliance biochemistry,VickreyCMP,17.5
1106007,define visceral?,define kittredge,VickreyCMP,17.5
1124210,tracheids are part of _____.,tracheids affordable flat apprehension cholla,VickreyCMP,17.5
287683,how many liberty ships were built in brunswick,what outlets docked warships mobile build appeared brunswick,VickreyCMP,17.5
490595,rsa definition key,sundowns definition key,VickreyCMP,17.5
1103812,who formed the commonwealth of independent states,who join sent meanwhile evils independent united,VickreyCMP,17.5
87181,causes of left ventricular hypertrophy,causes beyond remain ventricular hyperventilation,VickreyCMP,17.5
443396,lps laws definition,boxed laws implies,VickreyCMP,17.5
87452,causes of military suicide,causes of army suicide,VickreyCMP,17.5
855410,what is theraderm used for,probably regarded handouts commonly failure,VickreyCMP,17.5
1114646,what is famvir prescribed for,only considered socso medications for,VickreyCMP,17.5
19335,anthropological definition of environment,coseley law weeks climate,VickreyCMP,17.5
47923,axon terminals or synaptic knob definition,axon terminal who synaptic switch s/2004,VickreyCMP,17.5
405717,is cdg airport in main paris,'re 20002 shortly home main paris,VickreyCMP,17.5
182539,example of monotonic function,instance of quasiconformal functions,VickreyCMP,17.5
1113437,what is physical description of spruce,think is endure descriptions same sitka,VickreyCMP,17.5
1129237,hydrogen is a liquid below what temperature,helium is lieutenant liquid above lot below,VickreyCMP,17.5
146187,difference between a mcdouble and a double cheeseburger,difference sides squeeze dogra improve yet trio whopper,VickreyCMP,17.5
