id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,Mahalanobis,17.5
1110199,what is wifi vs bluetooth,unclear condition wi-fi vs bluetooth,Mahalanobis,17.5
1063750,why did the us volunterilay enter ww1,understand put of us budapest jordyn ww1,Mahalanobis,17.5
130510,definition declaratory judgment,definition declaratory decried,Mahalanobis,17.5
489204,right pelvic pain causes,right pelvic pain causes,Mahalanobis,17.5
573724,what are the social determinants of health,would been 98.6 shoulder-length cerna face health,Mahalanobis,17.5
1133167,how is the weather in jamaica,claudia means droungarios weather in jamaica,Mahalanobis,17.5
527433,types of dysarthria from cerebral palsy,types of fernandes bomet cerebral palsy,Mahalanobis,17.5
1037798,who is robert gray,24-year is robert blue,Mahalanobis,17.5
915593,what types of food can you cook sous vide,why things of food elisia you cook sous vide,Mahalanobis,17.5
264014,how long is life cycle of flea,amazed long corrupted form cycle mean flea,Mahalanobis,17.5
1121402,what can contour plowing reduce,what can hirte plowing that,Mahalanobis,17.5
962179,when was the salvation army founded,backstretch 20.87 signify salvation army founded,Mahalanobis,17.5
1117099,what is a active margin,see than a active margin,Mahalanobis,17.5
148538,difference between rn and bsn,difference between rn and vahr,Mahalanobis,17.5
451602,medicare's definition of mechanical ventilation,scafell hojeilan of vakhid ventilation,Mahalanobis,17.5
359349,how to find the midsegment of a trapezoid,lots to takes the resale seizure claiming sparse,Mahalanobis,17.5
1115776,what is an aml surveillance analyst,whole ) an bronchiectasis surveillance analyst,Mahalanobis,17.5
1112341,what is the daily life of thai people,grow is the daily from resigned thai people,Mahalanobis,17.5
131843,definition of a sigmet,definition committee a embassy,Mahalanobis,17.5
104861,cost of interior concrete flooring,cost ségur interior concrete flooring,Mahalanobis,17.5
833860,what is the most popular food in switzerland,here is head most popular food hill switzerland,Mahalanobis,17.5
207786,how are some sharks warm blooded,lucky be grabois sharks reaches blooded,Mahalanobis,17.5
1132213,how long to hold bow in yoga,stray long to hold bow in yoga,Mahalanobis,17.5
1114819,what is durable medical equipment consist of,what is two medical equipment manipulations kesha,Mahalanobis,17.5
183378,exons definition biology,exons definition biology,Mahalanobis,17.5
1106007,define visceral?,0131 parasail,Mahalanobis,17.5
1124210,tracheids are part of _____.,tracheids oakland masséna of wins,Mahalanobis,17.5
287683,how many liberty ships were built in brunswick,classify many liberty ships being built councils jesselton,Mahalanobis,17.5
490595,rsa definition key,rsa definition key,Mahalanobis,17.5
1103812,who formed the commonwealth of independent states,who freeflying turned kahurangi of independent states,Mahalanobis,17.5
87181,causes of left ventricular hypertrophy,cross catalonian left ventricular hypertrophy,Mahalanobis,17.5
443396,lps laws definition,lps laws definition,Mahalanobis,17.5
87452,causes of military suicide,causes riverboats military suicide,Mahalanobis,17.5
855410,what is theraderm used for,30-year tinklenberg dismissed sclerotic for,Mahalanobis,17.5
1114646,what is famvir prescribed for,ca exerts kahfi prescribed zacharatos,Mahalanobis,17.5
19335,anthropological definition of environment,wkpr definition or environment,Mahalanobis,17.5
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,Mahalanobis,17.5
405717,is cdg airport in main paris,padua cdg airport in main paris,Mahalanobis,17.5
182539,example of monotonic function,this of monotonic derivation,Mahalanobis,17.5
1113437,what is physical description of spruce,we is physical it similar spruce,Mahalanobis,17.5
1129237,hydrogen is a liquid below what temperature,hydrogen is appeared liquid fly-by what temperature,Mahalanobis,17.5
146187,difference between a mcdouble and a double cheeseburger,outcome hamence sort schuster and a double cheeseburger,Mahalanobis,17.5
