id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,make goldfish grow,Mahalanobis,15
1110199,what is wifi vs bluetooth,unclear condition luidia vs bluetooth,Mahalanobis,15
1063750,why did the us volunterilay enter ww1,understand : of ksugiura forums jordyn ww1,Mahalanobis,15
130510,definition declaratory judgment,definition declaratory decried,Mahalanobis,15
489204,right pelvic pain causes,right pelvic pain causes,Mahalanobis,15
573724,what are the social determinants of health,recommend been 98.6 shoulder-length cerna face health,Mahalanobis,15
1133167,how is the weather in jamaica,claudia means droungarios said game jamaica,Mahalanobis,15
527433,types of dysarthria from cerebral palsy,traffic country fernandes kh1 cerebral palsy,Mahalanobis,15
1037798,who is robert gray,scraggly is catherine firm,Mahalanobis,15
915593,what types of food can you cook sous vide,figures 're he food elisia you cook lemass 3.82,Mahalanobis,15
264014,how long is life cycle of flea,130.70 rule corrupted form violins mean flea,Mahalanobis,15
1121402,what can contour plowing reduce,what can hirte plowing dissolves,Mahalanobis,15
962179,when was the salvation army founded,backstretch 20.87 pre-1974 salvation army founded,Mahalanobis,15
1117099,what is a active margin,see than 105.3 active margin,Mahalanobis,15
148538,difference between rn and bsn,difference between rn segal vahr,Mahalanobis,15
451602,medicare's definition of mechanical ventilation,scafell hojeilan of vakhid valves,Mahalanobis,15
359349,how to find the midsegment of a trapezoid,lots to husband the konsthall seizure claiming sparse,Mahalanobis,15
1115776,what is an aml surveillance analyst,qabatiyeh ) john methane surveillance analyst,Mahalanobis,15
1112341,what is the daily life of thai people,grow course the daily from resigned thai people,Mahalanobis,15
131843,definition of a sigmet,definition committee a embassy,Mahalanobis,15
104861,cost of interior concrete flooring,cost 87.75 interior concrete flooring,Mahalanobis,15
833860,what is the most popular food in switzerland,here us head most popular food alan switzerland,Mahalanobis,15
207786,how are some sharks warm blooded,lucky be grabois close depresses three-wheeled,Mahalanobis,15
1132213,how long to hold bow in yoga,herding long to hold bow in yoga,Mahalanobis,15
1114819,what is durable medical equipment consist of,university remains two medical equipment manipulations kesha,Mahalanobis,15
183378,exons definition biology,earliest definition biology,Mahalanobis,15
1106007,define visceral?,0131 parasail,Mahalanobis,15
1124210,tracheids are part of _____.,tracheids oakland masséna of wins,Mahalanobis,15
287683,how many liberty ships were built in brunswick,classify many liberty ships subjected built councils jesselton,Mahalanobis,15
490595,rsa definition key,; sleeker key,Mahalanobis,15
1103812,who formed the commonwealth of independent states,vidal tiruchengode turned kahurangi wrapping independent states,Mahalanobis,15
87181,causes of left ventricular hypertrophy,cross catalonian left ventricular hypertrophy,Mahalanobis,15
443396,lps laws definition,lps laws definition,Mahalanobis,15
87452,causes of military suicide,poisoning riverboats military suicide,Mahalanobis,15
855410,what is theraderm used for,30-year tinklenberg dismissed sclerotic for,Mahalanobis,15
1114646,what is famvir prescribed for,ca exerts kahfi dhp zacharatos,Mahalanobis,15
19335,anthropological definition of environment,wkpr definition or volcanic,Mahalanobis,15
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,Mahalanobis,15
405717,is cdg airport in main paris,padua novalis airport in industrial paris,Mahalanobis,15
182539,example of monotonic function,a small dwellings derivation,Mahalanobis,15
1113437,what is physical description of spruce,we is physical it migrants spruce,Mahalanobis,15
1129237,hydrogen is a liquid below what temperature,hydrogen true appeared liquid fly-by what yaremchuk,Mahalanobis,15
146187,difference between a mcdouble and a double cheeseburger,coludata.co.uk hamence sort schuster middleton correia uk yabby,Mahalanobis,15
