id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,CMP,12.5
1110199,what is wifi vs bluetooth,out working terrestrial 7-3 bluetooth,CMP,12.5
1063750,why did the us volunterilay enter ww1,addressed concerts sundarban us dimpled provoke starlite,CMP,12.5
130510,definition declaratory judgment,hankinson declaratory stamp,CMP,12.5
489204,right pelvic pain causes,pointed pelvic inconvenient precisely,CMP,12.5
573724,what are the social determinants of health,fret speyer the social determinants st health,CMP,12.5
1133167,how is the weather in jamaica,how is regauged weather 30 jamaica,CMP,12.5
527433,types of dysarthria from cerebral palsy,kngwarreye of dysarthria from cerebral vines,CMP,12.5
1037798,who is robert gray,shoppers media robert trimtabs,CMP,12.5
915593,what types of food can you cook sous vide,what types prestigious food mutual feeling dating him/herself vide,CMP,12.5
264014,how long is life cycle of flea,how solitary slowly freelance famously providing likeness,CMP,12.5
1121402,what can contour plowing reduce,hefty can contour tillage noted,CMP,12.5
962179,when was the salvation army founded,back was light instead army founded,CMP,12.5
1117099,what is a active margin,anecdotally is a munitions trailed,CMP,12.5
148538,difference between rn and bsn,suebi between rn books bsn,CMP,12.5
451602,medicare's definition of mechanical ventilation,bettys exists of mechanical ovens,CMP,12.5
359349,how to find the midsegment of a trapezoid,alternative to enjoy the davie partex cane trapezoid,CMP,12.5
1115776,what is an aml surveillance analyst,does pump complaint corda surveillance analyst,CMP,12.5
1112341,what is the daily life of thai people,must is cherwell daily swelled sympathetic fate people,CMP,12.5
131843,definition of a sigmet,definition uncertain a papelbon,CMP,12.5
104861,cost of interior concrete flooring,price barred interior concrete flooring,CMP,12.5
833860,what is the most popular food in switzerland,question task rising widely follow-up food primaries switzerland,CMP,12.5
207786,how are some sharks warm blooded,assessing are involved sharks aisle tendency,CMP,12.5
1132213,how long to hold bow in yoga,country long whatever hold bow live yoga,CMP,12.5
1114819,what is durable medical equipment consist of,what is durable handbooks tug excludes vocal,CMP,12.5
183378,exons definition biology,exons belize elementary,CMP,12.5
1106007,define visceral?,roadway suwon,CMP,12.5
1124210,tracheids are part of _____.,sripriya laid art about barnabe,CMP,12.5
287683,how many liberty ships were built in brunswick,tired term liberty warships concern built cool brunswick,CMP,12.5
490595,rsa definition key,wis wes case,CMP,12.5
1103812,who formed the commonwealth of independent states,who joined detmold commonwealth of independent committed,CMP,12.5
87181,causes of left ventricular hypertrophy,site center henderson anglo-jewish hypertrophy,CMP,12.5
443396,lps laws definition,biodiesel laws definition,CMP,12.5
87452,causes of military suicide,somebody length military suicide,CMP,12.5
855410,what is theraderm used for,"determined responsibility 3,263 chanted for",CMP,12.5
1114646,what is famvir prescribed for,rushed is famvir prescribed beginning,CMP,12.5
19335,anthropological definition of environment,archeological daring trappings environment,CMP,12.5
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob 14-20,CMP,12.5
405717,is cdg airport in main paris,every huaqiang spokeswoman mass. plaza paris,CMP,12.5
182539,example of monotonic function,limit exporting monotonic corporation,CMP,12.5
1113437,what is physical description of spruce,think dickens physical description shrovetide spruce,CMP,12.5
1129237,hydrogen is a liquid below what temperature,hydrogen newark-on-trent swamp liquid minimum broken temperature,CMP,12.5
146187,difference between a mcdouble and a double cheeseburger,bruce between a estevez completely a double cheeseburger,CMP,12.5
