id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,CMP,20
1110199,what is wifi vs bluetooth,what comes wifi vs bluetooth,CMP,20
1063750,why did the us volunterilay enter ww1,how put the us borchert entering ww1,CMP,20
130510,definition declaratory judgment,definition declaratory judgment,CMP,20
489204,right pelvic pain causes,right pelvic pain cause,CMP,20
573724,what are the social determinants of health,what are the social determinants of health,CMP,20
1133167,how is the weather in jamaica,how is the weather in jamaica,CMP,20
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,CMP,20
1037798,who is robert gray,who is robert gray,CMP,20
915593,what types of food can you cook sous vide,what types of food can want cook sous vide,CMP,20
264014,how long is life cycle of flea,how long is life cycle of flea,CMP,20
1121402,what can contour plowing reduce,there can contour plowing reduce,CMP,20
962179,when was the salvation army founded,when bringing the salvation army founded,CMP,20
1117099,what is a active margin,what is a active margin,CMP,20
148538,difference between rn and bsn,difference between rn and bsn,CMP,20
451602,medicare's definition of mechanical ventilation,externally definition of mechanical ventilation,CMP,20
359349,how to find the midsegment of a trapezoid,why to find sale lloyd of a langille,CMP,20
1115776,what is an aml surveillance analyst,really is no aml surveillance analyst,CMP,20
1112341,what is the daily life of thai people,what is the daily life of thai people,CMP,20
131843,definition of a sigmet,definition of a potgieter,CMP,20
104861,cost of interior concrete flooring,cost of interior concrete flooring,CMP,20
833860,what is the most popular food in switzerland,we is the most popular food in switzerland,CMP,20
207786,how are some sharks warm blooded,make are some sharks warm blooded,CMP,20
1132213,how long to hold bow in yoga,how long to hold bow in yoga,CMP,20
1114819,what is durable medical equipment consist of,ask is durable medical equipment consist of,CMP,20
183378,exons definition biology,exons definition biology,CMP,20
1106007,define visceral?,define appreciative,CMP,20
1124210,tracheids are part of _____.,tracheids are part alderman nelsen,CMP,20
287683,how many liberty ships were built in brunswick,how many liberty ships were built in brunswick,CMP,20
490595,rsa definition key,rsa definition key,CMP,20
1103812,who formed the commonwealth of independent states,who formed extends commonwealth of independent states,CMP,20
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,CMP,20
443396,lps laws definition,lps enacted definition,CMP,20
87452,causes of military suicide,causes of military suicide,CMP,20
855410,what is theraderm used for,think knows mcaleese used for,CMP,20
1114646,what is famvir prescribed for,what is promotora prescribed for,CMP,20
19335,anthropological definition of environment,anthropological definition of environment,CMP,20
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,CMP,20
405717,is cdg airport in main paris,appears cdg airport in main paris,CMP,20
182539,example of monotonic function,example of monotonic function,CMP,20
1113437,what is physical description of spruce,work known physical description of spruce,CMP,20
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature,CMP,20
146187,difference between a mcdouble and a double cheeseburger,differences between a pyle and a double cheeseburger,CMP,20
