id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,TEM,10
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,TEM,10
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,TEM,10
130510,definition declaratory judgment,definition declaratory judgment,TEM,10
489204,right pelvic pain causes,right pelvic pain causes,TEM,10
573724,what are the social determinants of health,what are the social determinants of health,TEM,10
1133167,how is the weather in jamaica,how is the weather in jamaica,TEM,10
527433,types of dysarthria from cerebral palsy,types of dysarthria from cerebral palsy,TEM,10
1037798,who is robert gray,who is robert gray,TEM,10
915593,what types of food can you cook sous vide,what types of food can you cook sous vide,TEM,10
264014,how long is life cycle of flea,how long is life cycle of flea,TEM,10
1121402,what can contour plowing reduce,what can contour plowing reduce,TEM,10
962179,when was the salvation army founded,when was the salvation army founded,TEM,10
1117099,what is a active margin,what is a active margin,TEM,10
148538,difference between rn and bsn,difference between rn and bsn,TEM,10
451602,medicare's definition of mechanical ventilation,medicare's definition of mechanical ventilation,TEM,10
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,TEM,10
1115776,what is an aml surveillance analyst,what is an aml surveillance analyst,TEM,10
1112341,what is the daily life of thai people,what is the daily life of thai people,TEM,10
131843,definition of a sigmet,definition of a sigmet,TEM,10
104861,cost of interior concrete flooring,cost of interior concrete flooring,TEM,10
833860,what is the most popular food in switzerland,what is the most popular food in switzerland,TEM,10
207786,how are some sharks warm blooded,how are some sharks warm blooded,TEM,10
1132213,how long to hold bow in yoga,how long to hold bow in yoga,TEM,10
1114819,what is durable medical equipment consist of,what is durable medical equipment consist of,TEM,10
183378,exons definition biology,exons definition biology,TEM,10
1106007,define visceral?,define visceral?,TEM,10
1124210,tracheids are part of _____.,tracheids are part of _____.,TEM,10
287683,how many liberty ships were built in brunswick,how many liberty ships were built in brunswick,TEM,10
490595,rsa definition key,rsa definition key,TEM,10
1103812,who formed the commonwealth of independent states,who formed the commonwealth of independent states,TEM,10
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,TEM,10
443396,lps laws definition,lps laws definition,TEM,10
87452,causes of military suicide,causes of military suicide,TEM,10
855410,what is theraderm used for,what is theraderm used for,TEM,10
1114646,what is famvir prescribed for,what is famvir prescribed for,TEM,10
19335,anthropological definition of environment,anthropological definition of environment,TEM,10
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,TEM,10
405717,is cdg airport in main paris,is cdg airport in main paris,TEM,10
182539,example of monotonic function,example of monotonic function,TEM,10
1113437,what is physical description of spruce,what is physical description of spruce,TEM,10
1129237,hydrogen is a liquid below what temperature,hydrogen is a liquid below what temperature,TEM,10
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,TEM,10
